
/src/papaparse.js
    30:2    error    Definition for rule 'func-name' was not found     func-name
  7:3240   warning  Function Call Object Injection Sink               security/detect-object-injection
  7:3240   warning  Generic Object Injection Sink                     security/detect-object-injection
  7:3500   warning  Generic Object Injection Sink                     security/detect-object-injection
  7:3563   warning  Function Call Object Injection Sink               security/detect-object-injection
  7:4396   warning  Generic Object Injection Sink                     security/detect-object-injection
  7:7537   warning  Function Call Object Injection Sink               security/detect-object-injection
  7:10588  warning  Unsafe Regular Expression                         security/detect-unsafe-regex
  7:11386  warning  Function Call Object Injection Sink               security/detect-object-injection
  7:11592  warning  Generic Object Injection Sink                     security/detect-object-injection
  7:11800  warning  Variable Assigned to Object Injection Sink        security/detect-object-injection
  7:11847  warning  Generic Object Injection Sink                     security/detect-object-injection
  7:11918  warning  Generic Object Injection Sink                     security/detect-object-injection
  7:11923  warning  Generic Object Injection Sink                     security/detect-object-injection
  7:11932  warning  Generic Object Injection Sink                     security/detect-object-injection
  7:11946  warning  Generic Object Injection Sink                     security/detect-object-injection
  7:12461  warning  Generic Object Injection Sink                     security/detect-object-injection
  7:12482  warning  Generic Object Injection Sink                     security/detect-object-injection
  7:12535  warning  Generic Object Injection Sink                     security/detect-object-injection
  7:12973  warning  Found non-literal argument to RegExp Constructor  security/detect-non-literal-regexp
  7:13166  warning  Generic Object Injection Sink                     security/detect-object-injection
  7:13435  warning  Variable Assigned to Object Injection Sink        security/detect-object-injection
  7:13565  warning  Function Call Object Injection Sink               security/detect-object-injection
  7:13591  warning  Generic Object Injection Sink                     security/detect-object-injection
  7:14303  warning  The function setTimeout can be unsafe             scanjs-rules/call_setTimeout
  7:15214  warning  Generic Object Injection Sink                     security/detect-object-injection
  7:15467  warning  Found non-literal argument to RegExp Constructor  security/detect-non-literal-regexp
  7:15515  warning  Generic Object Injection Sink                     security/detect-object-injection
  7:17793  warning  Generic Object Injection Sink                     security/detect-object-injection
  7:18019  warning  Variable Assigned to Object Injection Sink        security/detect-object-injection
  7:18082  warning  Generic Object Injection Sink                     security/detect-object-injection
  7:18235  warning  Generic Object Injection Sink                     security/detect-object-injection
  7:18242  warning  Function Call Object Injection Sink               security/detect-object-injection

/src/player/player.js
  37:10  warning  Generic Object Injection Sink  security/detect-object-injection

/src/tests/node-tests.js
    7:24  warning  Found fs.readFileSync with non literal argument at index 0      security/detect-non-literal-fs-filename
   60:14  warning  Found fs.createReadStream with non literal argument at index 0  security/detect-non-literal-fs-filename
   90:14  warning  Found fs.createReadStream with non literal argument at index 0  security/detect-non-literal-fs-filename
   99:14  warning  Found fs.createReadStream with non literal argument at index 0  security/detect-non-literal-fs-filename
  137:20  warning  Found fs.createReadStream with non literal argument at index 0  security/detect-non-literal-fs-filename
  168:20  warning  Found fs.createReadStream with non literal argument at index 0  security/detect-non-literal-fs-filename
  182:14  warning  Found fs.createReadStream with non literal argument at index 0  security/detect-non-literal-fs-filename
  217:14  warning  Found fs.createReadStream with non literal argument at index 0  security/detect-non-literal-fs-filename
  221:5   warning  The function setTimeout can be unsafe                           scanjs-rules/call_setTimeout
  254:14  warning  Found fs.createReadStream with non literal argument at index 0  security/detect-non-literal-fs-filename
  267:14  warning  Found fs.createReadStream with non literal argument at index 0  security/detect-non-literal-fs-filename
  280:14  warning  Found fs.createReadStream with non literal argument at index 0  security/detect-non-literal-fs-filename

/src/tests/test-cases.js
   601:16  warning  Function Call Object Injection Sink    security/detect-object-injection
  1500:16  warning  Function Call Object Injection Sink    security/detect-object-injection
  1589:16  warning  Function Call Object Injection Sink    security/detect-object-injection
  1850:16  warning  Function Call Object Injection Sink    security/detect-object-injection
  2269:4   warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  2412:4   warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  2512:16  warning  Function Call Object Injection Sink    security/detect-object-injection

/src/tests/test.js
  5:20  warning  Found require("child_process")      security/detect-child-process
  7:14  warning  The function connect can be unsafe  scanjs-rules/call_connect

✖ 111 problems (1 error, 110 warnings)

