
/src/grunt.js
   3:14  warning  Found require("child_process")                               security/detect-child-process
   912:15  warning  The function setTimeout can be unsafe               scanjs-rules/call_setTimeout
   937:15  warning  Generic Object Injection Sink                       security/detect-object-injection
   939:3   warning  Generic Object Injection Sink                       security/detect-object-injection
   971:5   warning  Generic Object Injection Sink                       security/detect-object-injection
   999:10  warning  Generic Object Injection Sink                       security/detect-object-injection
  1150:14  warning  Variable Assigned to Object Injection Sink          security/detect-object-injection
  1164:9   warning  Generic Object Injection Sink                       security/detect-object-injection
  1231:6   warning  Generic Object Injection Sink                       security/detect-object-injection
  1232:6   warning  Generic Object Injection Sink                       security/detect-object-injection
  1249:10  warning  Generic Object Injection Sink                       security/detect-object-injection
  1249:51  warning  Generic Object Injection Sink                       security/detect-object-injection
  1250:6   warning  Generic Object Injection Sink                       security/detect-object-injection
  1433:28  warning  Generic Object Injection Sink                       security/detect-object-injection
  1582:18  warning  Generic Object Injection Sink                       security/detect-object-injection
  1582:40  warning  Generic Object Injection Sink                       security/detect-object-injection
  1586:17  warning  Generic Object Injection Sink                       security/detect-object-injection
  1586:40  warning  Generic Object Injection Sink                       security/detect-object-injection
  1594:5   warning  Generic Object Injection Sink                       security/detect-object-injection
  1600:9   warning  Generic Object Injection Sink                       security/detect-object-injection
  1601:4   warning  Generic Object Injection Sink                       security/detect-object-injection
  1606:5   warning  Generic Object Injection Sink                       security/detect-object-injection
  1614:5   warning  Generic Object Injection Sink                       security/detect-object-injection
  1614:34  warning  Function Call Object Injection Sink                 security/detect-object-injection
  1616:5   warning  Generic Object Injection Sink                       security/detect-object-injection
  1616:39  warning  Generic Object Injection Sink                       security/detect-object-injection
  1620:15  warning  Generic Object Injection Sink                       security/detect-object-injection
  1642:10  warning  Generic Object Injection Sink                       security/detect-object-injection
  1672:9   warning  Generic Object Injection Sink                       security/detect-object-injection
  1678:22  warning  Generic Object Injection Sink                       security/detect-object-injection
  1678:36  warning  Generic Object Injection Sink                       security/detect-object-injection
  1701:24  warning  Generic Object Injection Sink                       security/detect-object-injection
  1714:11  warning  Generic Object Injection Sink                       security/detect-object-injection
  1718:29  warning  Function Call Object Injection Sink                 security/detect-object-injection
  1729:11  warning  Generic Object Injection Sink                       security/detect-object-injection
  1733:4   warning  Generic Object Injection Sink                       security/detect-object-injection
  1766:14  warning  Generic Object Injection Sink                       security/detect-object-injection
  1771:30  warning  Function Call Object Injection Sink                 security/detect-object-injection
  1863:49  warning  Function Call Object Injection Sink                 security/detect-object-injection
  1975:22  warning  Generic Object Injection Sink                       security/detect-object-injection
  1979:18  warning  The function setTimeout can be unsafe               scanjs-rules/call_setTimeout
  2009:24  warning  Function Call Object Injection Sink                 security/detect-object-injection
  2044:10  warning  Generic Object Injection Sink                       security/detect-object-injection
  2048:5   warning  Generic Object Injection Sink                       security/detect-object-injection
  2049:12  warning  Generic Object Injection Sink                       security/detect-object-injection
  2068:12  warning  Generic Object Injection Sink                       security/detect-object-injection
  2078:37  warning  Generic Object Injection Sink                       security/detect-object-injection
  2079:21  warning  Generic Object Injection Sink                       security/detect-object-injection
  2103:12  warning  Generic Object Injection Sink                       security/detect-object-injection
  2111:39  warning  Generic Object Injection Sink                       security/detect-object-injection
  2112:45  warning  Generic Object Injection Sink                       security/detect-object-injection
  2142:5   warning  Assignment in WhileStatement. Is this accidental?   scanjs-rules/accidental_assignment
  2165:9   warning  Generic Object Injection Sink                       security/detect-object-injection
  2165:42  warning  Generic Object Injection Sink                       security/detect-object-injection
  2258:15  warning  Generic Object Injection Sink                       security/detect-object-injection
  2309:35  warning  Function Call Object Injection Sink                 security/detect-object-injection
  2310:11  warning  Function Call Object Injection Sink                 security/detect-object-injection
  2324:12  warning  Generic Object Injection Sink                       security/detect-object-injection
  2364:12  warning  Generic Object Injection Sink                       security/detect-object-injection
  2367:17  warning  Generic Object Injection Sink                       security/detect-object-injection
  2379:7   warning  Generic Object Injection Sink                       security/detect-object-injection
  2454:11  warning  Generic Object Injection Sink                       security/detect-object-injection
  2455:12  warning  Generic Object Injection Sink                       security/detect-object-injection
  2463:14  warning  Generic Object Injection Sink                       security/detect-object-injection
  2471:12  warning  Generic Object Injection Sink                       security/detect-object-injection
  2512:15  warning  Generic Object Injection Sink                       security/detect-object-injection
  2515:5   warning  Generic Object Injection Sink                       security/detect-object-injection
  2539:20  warning  Generic Object Injection Sink                       security/detect-object-injection
  2557:3   warning  Generic Object Injection Sink                       security/detect-object-injection
  2557:45  warning  Function Call Object Injection Sink                 security/detect-object-injection
  2584:3   warning  Generic Object Injection Sink                       security/detect-object-injection
  2584:45  warning  Function Call Object Injection Sink                 security/detect-object-injection
  2611:17  error    Must use destructuring elem assignment              react/destructuring-assignment
  2713:31  warning  Function Call Object Injection Sink                 security/detect-object-injection
  2718:14  warning  Generic Object Injection Sink                       security/detect-object-injection
  2724:14  warning  Generic Object Injection Sink                       security/detect-object-injection
  2739:15  warning  Generic Object Injection Sink                       security/detect-object-injection
  2741:16  warning  Generic Object Injection Sink                       security/detect-object-injection
  2748:7   warning  The function addEventListener can be unsafe         scanjs-rules/call_addEventListener
  2772:4   warning  Generic Object Injection Sink                       security/detect-object-injection
  2795:31  warning  Function Call Object Injection Sink                 security/detect-object-injection
  2802:40  warning  Generic Object Injection Sink                       security/detect-object-injection
  2807:14  warning  Generic Object Injection Sink                       security/detect-object-injection
  2809:16  warning  Generic Object Injection Sink                       security/detect-object-injection
  2811:30  warning  Found non-literal argument to RegExp Constructor    security/detect-non-literal-regexp
  2815:17  warning  Generic Object Injection Sink                       security/detect-object-injection
  2839:12  warning  Generic Object Injection Sink                       security/detect-object-injection
  2890:18  warning  Generic Object Injection Sink                       security/detect-object-injection
  2890:56  warning  Generic Object Injection Sink                       security/detect-object-injection
  2908:41  warning  Found non-literal argument to RegExp Constructor    security/detect-non-literal-regexp
  2917:10  warning  Generic Object Injection Sink                       security/detect-object-injection
  2917:31  warning  Generic Object Injection Sink                       security/detect-object-injection
  2917:31  warning  Generic Object Injection Sink                       security/detect-object-injection
  2918:41  warning  Generic Object Injection Sink                       security/detect-object-injection
  2935:13  warning  Generic Object Injection Sink                       security/detect-object-injection
  2961:10  warning  Generic Object Injection Sink                       security/detect-object-injection
  2962:17  warning  Generic Object Injection Sink                       security/detect-object-injection
  2969:23  warning  Generic Object Injection Sink                       security/detect-object-injection
  2986:20  warning  Generic Object Injection Sink                       security/detect-object-injection
  2989:12  warning  Generic Object Injection Sink                       security/detect-object-injection
  2992:7   warning  Generic Object Injection Sink                       security/detect-object-injection
  2997:6   warning  Function Call Object Injection Sink                 security/detect-object-injection
  3001:7   warning  Generic Object Injection Sink                       security/detect-object-injection
  3043:19  warning  Generic Object Injection Sink                       security/detect-object-injection
  3046:12  warning  Generic Object Injection Sink                       security/detect-object-injection
  3047:8   warning  Generic Object Injection Sink                       security/detect-object-injection
  3051:12  warning  Generic Object Injection Sink                       security/detect-object-injection
  3069:14  warning  Generic Object Injection Sink                       security/detect-object-injection
  3073:17  warning  Generic Object Injection Sink                       security/detect-object-injection
  3170:4   warning  Generic Object Injection Sink                       security/detect-object-injection
  3170:20  warning  Generic Object Injection Sink                       security/detect-object-injection
  3258:16  warning  Generic Object Injection Sink                       security/detect-object-injection
  3259:5   warning  Generic Object Injection Sink                       security/detect-object-injection
  3354:2   warning  Generic Object Injection Sink                       security/detect-object-injection
  3493:3   warning  Generic Object Injection Sink                       security/detect-object-injection
  3496:6   warning  The function addEventListener can be unsafe         scanjs-rules/call_addEventListener
  3522:36  warning  Function Call Object Injection Sink                 security/detect-object-injection
  3581:31  warning  Function Call Object Injection Sink                 security/detect-object-injection
  3647:12  warning  Generic Object Injection Sink                       security/detect-object-injection
  3669:2   warning  Generic Object Injection Sink                       security/detect-object-injection
  3681:3   warning  Generic Object Injection Sink                       security/detect-object-injection
  3685:3   warning  Generic Object Injection Sink                       security/detect-object-injection
  3725:9   warning  Generic Object Injection Sink                       security/detect-object-injection
  3734:3   warning  Generic Object Injection Sink                       security/detect-object-injection
  3786:10  warning  Found non-literal argument to RegExp Constructor    security/detect-non-literal-regexp
  3788:11  warning  Found non-literal argument to RegExp Constructor    security/detect-non-literal-regexp
  3789:17  warning  Found non-literal argument to RegExp Constructor    security/detect-non-literal-regexp
  3790:12  warning  Found non-literal argument to RegExp Constructor    security/detect-non-literal-regexp
  3805:9   warning  Found non-literal argument to RegExp Constructor    security/detect-non-literal-regexp
  3806:12  warning  Found non-literal argument to RegExp Constructor    security/detect-non-literal-regexp
  3807:11  warning  Found non-literal argument to RegExp Constructor    security/detect-non-literal-regexp
  3808:10  warning  Found non-literal argument to RegExp Constructor    security/detect-non-literal-regexp
  3809:11  warning  Found non-literal argument to RegExp Constructor    security/detect-non-literal-regexp
  3810:13  warning  Found non-literal argument to RegExp Constructor    security/detect-non-literal-regexp
  3811:10  warning  Found non-literal argument to RegExp Constructor    security/detect-non-literal-regexp
  3812:12  warning  Found non-literal argument to RegExp Constructor    security/detect-non-literal-regexp
  3816:19  warning  Found non-literal argument to RegExp Constructor    security/detect-non-literal-regexp
  3874:3   error    Unsafe assignment to innerHTML                      no-unsanitized/property
  3898:19  warning  Generic Object Injection Sink                       security/detect-object-injection
  3922:3   warning  Assignment in IfStatement. Is this accidental?      scanjs-rules/accidental_assignment
  3924:4   warning  Assignment in IfStatement. Is this accidental?      scanjs-rules/accidental_assignment
  4000:21  warning  Generic Object Injection Sink                       security/detect-object-injection
  4001:6   warning  Generic Object Injection Sink                       security/detect-object-injection
  4001:18  warning  Generic Object Injection Sink                       security/detect-object-injection
  4001:31  warning  Generic Object Injection Sink                       security/detect-object-injection
  4037:19  warning  Generic Object Injection Sink                       security/detect-object-injection
  4064:3   warning  Assignment in WhileStatement. Is this accidental?   scanjs-rules/accidental_assignment
  4079:2   warning  Assignment in IfStatement. Is this accidental?      scanjs-rules/accidental_assignment
  4079:14  warning  Generic Object Injection Sink                       security/detect-object-injection
  4087:10  warning  Generic Object Injection Sink                       security/detect-object-injection
  4088:4   warning  Generic Object Injection Sink                       security/detect-object-injection
  4151:22  warning  Generic Object Injection Sink                       security/detect-object-injection
  4235:11  warning  Assignment in IfStatement. Is this accidental?      scanjs-rules/accidental_assignment
  4283:18  warning  Generic Object Injection Sink                       security/detect-object-injection
  4286:16  warning  Found non-literal argument to RegExp Constructor    security/detect-non-literal-regexp
  4351:7   warning  Assignment in WhileStatement. Is this accidental?   scanjs-rules/accidental_assignment
  4365:7   warning  Assignment in WhileStatement. Is this accidental?   scanjs-rules/accidental_assignment
  4382:10  warning  Generic Object Injection Sink                       security/detect-object-injection
  4388:9   warning  Generic Object Injection Sink                       security/detect-object-injection
  4401:34  warning  Function Call Object Injection Sink                 security/detect-object-injection
  4402:8   warning  Generic Object Injection Sink                       security/detect-object-injection
  4402:25  warning  Generic Object Injection Sink                       security/detect-object-injection
  4402:42  warning  Generic Object Injection Sink                       security/detect-object-injection
  4423:11  warning  Generic Object Injection Sink                       security/detect-object-injection
  4431:7   warning  Assignment in IfStatement. Is this accidental?      scanjs-rules/accidental_assignment
  4431:20  warning  Generic Object Injection Sink                       security/detect-object-injection
  4432:8   warning  Generic Object Injection Sink                       security/detect-object-injection
  4432:20  warning  Generic Object Injection Sink                       security/detect-object-injection
  4664:9   warning  Generic Object Injection Sink                       security/detect-object-injection
  4664:19  warning  Generic Object Injection Sink                       security/detect-object-injection
  4665:26  warning  Function Call Object Injection Sink                 security/detect-object-injection
  4665:33  warning  Function Call Object Injection Sink                 security/detect-object-injection
  4671:21  warning  Function Call Object Injection Sink                 security/detect-object-injection
  4672:18  warning  Function Call Object Injection Sink                 security/detect-object-injection
  4691:19  warning  Generic Object Injection Sink                       security/detect-object-injection
  4697:20  warning  Function Call Object Injection Sink                 security/detect-object-injection
  4711:12  warning  Generic Object Injection Sink                       security/detect-object-injection
  4735:3   warning  Assignment in IfStatement. Is this accidental?      scanjs-rules/accidental_assignment
  4745:18  warning  Generic Object Injection Sink                       security/detect-object-injection
  4745:56  warning  Generic Object Injection Sink                       security/detect-object-injection
  4746:14  warning  Function Call Object Injection Sink                 security/detect-object-injection
  4779:4   warning  Assignment in WhileStatement. Is this accidental?   scanjs-rules/accidental_assignment
  4779:20  warning  Generic Object Injection Sink                       security/detect-object-injection
  4793:5   warning  Assignment in WhileStatement. Is this accidental?   scanjs-rules/accidental_assignment
  4793:21  warning  Generic Object Injection Sink                       security/detect-object-injection
  4795:21  warning  Generic Object Injection Sink                       security/detect-object-injection
  4802:8   warning  Generic Object Injection Sink                       security/detect-object-injection
  4812:5   warning  Assignment in WhileStatement. Is this accidental?   scanjs-rules/accidental_assignment
  4812:21  warning  Generic Object Injection Sink                       security/detect-object-injection
  4828:11  warning  Function Call Object Injection Sink                 security/detect-object-injection
  4845:3   warning  Assignment in IfStatement. Is this accidental?      scanjs-rules/accidental_assignment
  4845:16  warning  Generic Object Injection Sink                       security/detect-object-injection
  4859:22  warning  Generic Object Injection Sink                       security/detect-object-injection
  4862:22  warning  Generic Object Injection Sink                       security/detect-object-injection
  4903:5   warning  Assignment in IfStatement. Is this accidental?      scanjs-rules/accidental_assignment
  4903:18  warning  Generic Object Injection Sink                       security/detect-object-injection
  4904:18  warning  Generic Object Injection Sink                       security/detect-object-injection
  4904:46  warning  Generic Object Injection Sink                       security/detect-object-injection
  4916:7   warning  Assignment in IfStatement. Is this accidental?      scanjs-rules/accidental_assignment
  4916:20  warning  Generic Object Injection Sink                       security/detect-object-injection
  4918:20  warning  Generic Object Injection Sink                       security/detect-object-injection
  4927:19  warning  Generic Object Injection Sink                       security/detect-object-injection
  4928:57  warning  Generic Object Injection Sink                       security/detect-object-injection
  4930:7   warning  Generic Object Injection Sink                       security/detect-object-injection
  4930:22  warning  Generic Object Injection Sink                       security/detect-object-injection
  4973:3   warning  Assignment in IfStatement. Is this accidental?      scanjs-rules/accidental_assignment
  4973:34  warning  Generic Object Injection Sink                       security/detect-object-injection
  4976:27  warning  Generic Object Injection Sink                       security/detect-object-injection
  4976:57  warning  Generic Object Injection Sink                       security/detect-object-injection
  4979:9   warning  Generic Object Injection Sink                       security/detect-object-injection
  4983:26  warning  Generic Object Injection Sink                       security/detect-object-injection
  5025:20  warning  Generic Object Injection Sink                       security/detect-object-injection
  5027:30  warning  Generic Object Injection Sink                       security/detect-object-injection
  5042:6   warning  Assignment in IfStatement. Is this accidental?      scanjs-rules/accidental_assignment
  5056:29  warning  Generic Object Injection Sink                       security/detect-object-injection
  5064:15  warning  Generic Object Injection Sink                       security/detect-object-injection
  5064:31  warning  Generic Object Injection Sink                       security/detect-object-injection
  5065:9   warning  Generic Object Injection Sink                       security/detect-object-injection
  5104:12  warning  Generic Object Injection Sink                       security/detect-object-injection
  5113:32  warning  Function Call Object Injection Sink                 security/detect-object-injection
  5114:9   warning  Generic Object Injection Sink                       security/detect-object-injection
  5131:21  warning  Function Call Object Injection Sink                 security/detect-object-injection
  5161:13  warning  Generic Object Injection Sink                       security/detect-object-injection
  5167:5   warning  Assignment in IfStatement. Is this accidental?      scanjs-rules/accidental_assignment
  5167:18  warning  Generic Object Injection Sink                       security/detect-object-injection
  5169:6   warning  Assignment in IfStatement. Is this accidental?      scanjs-rules/accidental_assignment
  5264:41  warning  Found non-literal argument to RegExp Constructor    security/detect-non-literal-regexp
  5284:6   warning  Assignment in IfStatement. Is this accidental?      scanjs-rules/accidental_assignment
  5293:7   warning  Generic Object Injection Sink                       security/detect-object-injection
  5293:25  warning  Generic Object Injection Sink                       security/detect-object-injection
  5332:50  warning  Found non-literal argument to RegExp Constructor    security/detect-non-literal-regexp
  5399:28  warning  Function Call Object Injection Sink                 security/detect-object-injection
  5410:27  warning  Function Call Object Injection Sink                 security/detect-object-injection
  5416:12  warning  Generic Object Injection Sink                       security/detect-object-injection
  5416:23  warning  Generic Object Injection Sink                       security/detect-object-injection
  5435:33  warning  Function Call Object Injection Sink                 security/detect-object-injection
  5471:10  warning  Generic Object Injection Sink                       security/detect-object-injection
  5535:9   warning  Generic Object Injection Sink                       security/detect-object-injection
  5582:2   warning  Generic Object Injection Sink                       security/detect-object-injection
  5593:29  warning  Generic Object Injection Sink                       security/detect-object-injection
  5616:10  warning  Variable Assigned to Object Injection Sink          security/detect-object-injection
  5622:10  warning  Generic Object Injection Sink                       security/detect-object-injection
  5698:17  warning  Found non-literal argument to RegExp Constructor    security/detect-non-literal-regexp
  5848:19  warning  Generic Object Injection Sink                       security/detect-object-injection
  5868:19  warning  Generic Object Injection Sink                       security/detect-object-injection
  5915:14  warning  Generic Object Injection Sink                       security/detect-object-injection
  5918:8   error    Unsafe assignment to innerHTML                      no-unsanitized/property
  6015:33  warning  Function Call Object Injection Sink                 security/detect-object-injection
  6016:22  warning  Function Call Object Injection Sink                 security/detect-object-injection
  6017:8   warning  Generic Object Injection Sink                       security/detect-object-injection
  6078:21  warning  Generic Object Injection Sink                       security/detect-object-injection
  6079:35  warning  Function Call Object Injection Sink                 security/detect-object-injection
  6079:35  warning  Generic Object Injection Sink                       security/detect-object-injection
  6116:4   error    Unsafe assignment to outerHTML                      no-unsanitized/property
  6124:4   error    Unsafe assignment to innerHTML                      no-unsanitized/property
  6183:14  warning  Generic Object Injection Sink                       security/detect-object-injection
  6194:4   warning  Generic Object Injection Sink                       security/detect-object-injection
  6210:2   warning  Generic Object Injection Sink                       security/detect-object-injection
  6219:4   warning  Function Call Object Injection Sink                 security/detect-object-injection
  6224:5   warning  Function Call Object Injection Sink                 security/detect-object-injection
  6224:13  warning  Function Call Object Injection Sink                 security/detect-object-injection
  6264:4   error    Unsafe assignment to innerHTML                      no-unsanitized/property
  6285:17  warning  Generic Object Injection Sink                       security/detect-object-injection
  6287:10  warning  Generic Object Injection Sink                       security/detect-object-injection
  6288:26  warning  Function Call Object Injection Sink                 security/detect-object-injection
  6288:42  warning  Function Call Object Injection Sink                 security/detect-object-injection
  6301:18  warning  Generic Object Injection Sink                       security/detect-object-injection
  6302:22  warning  Function Call Object Injection Sink                 security/detect-object-injection
  6302:38  warning  Function Call Object Injection Sink                 security/detect-object-injection
  6324:24  warning  Generic Object Injection Sink                       security/detect-object-injection
  6348:13  warning  Generic Object Injection Sink                       security/detect-object-injection
  6350:6   error    Unsafe assignment to innerHTML                      no-unsanitized/property
  6371:30  warning  Function Call Object Injection Sink                 security/detect-object-injection
  6371:56  warning  Generic Object Injection Sink                       security/detect-object-injection
  6372:9   warning  Generic Object Injection Sink                       security/detect-object-injection
  6372:44  warning  Function Call Object Injection Sink                 security/detect-object-injection
  6404:25  warning  Generic Object Injection Sink                       security/detect-object-injection
  6427:25  warning  Generic Object Injection Sink                       security/detect-object-injection
  6455:19  warning  Generic Object Injection Sink                       security/detect-object-injection
  6459:10  warning  Generic Object Injection Sink                       security/detect-object-injection
  6460:18  warning  Generic Object Injection Sink                       security/detect-object-injection
  6465:13  warning  Generic Object Injection Sink                       security/detect-object-injection
  6476:11  warning  Generic Object Injection Sink                       security/detect-object-injection
  6478:14  warning  Generic Object Injection Sink                       security/detect-object-injection
  6484:15  warning  Generic Object Injection Sink                       security/detect-object-injection
  6490:8   warning  Generic Object Injection Sink                       security/detect-object-injection
  6571:14  warning  Found non-literal argument to RegExp Constructor    security/detect-non-literal-regexp
  6572:14  warning  Found non-literal argument to RegExp Constructor    security/detect-non-literal-regexp
  6573:12  warning  Found non-literal argument to RegExp Constructor    security/detect-non-literal-regexp
  6601:10  warning  Generic Object Injection Sink                       security/detect-object-injection
  6622:10  warning  Generic Object Injection Sink                       security/detect-object-injection
  6626:3   warning  Generic Object Injection Sink                       security/detect-object-injection
  6630:10  warning  Generic Object Injection Sink                       security/detect-object-injection
  6638:5   warning  Generic Object Injection Sink                       security/detect-object-injection
  6643:10  warning  Generic Object Injection Sink                       security/detect-object-injection
  6652:10  warning  Generic Object Injection Sink                       security/detect-object-injection
  6657:32  warning  Generic Object Injection Sink                       security/detect-object-injection
  6689:5   warning  The function hide can be unsafe                     scanjs-rules/call_hide
  6742:10  warning  Generic Object Injection Sink                       security/detect-object-injection
  6742:43  warning  Generic Object Injection Sink                       security/detect-object-injection
  6746:11  warning  Generic Object Injection Sink                       security/detect-object-injection
  6746:38  warning  Generic Object Injection Sink                       security/detect-object-injection
  6765:31  warning  Generic Object Injection Sink                       security/detect-object-injection
  6774:6   warning  Generic Object Injection Sink                       security/detect-object-injection
  6785:11  warning  Generic Object Injection Sink                       security/detect-object-injection
  6794:10  warning  Generic Object Injection Sink                       security/detect-object-injection
  6794:43  warning  Generic Object Injection Sink                       security/detect-object-injection
  6798:11  warning  Generic Object Injection Sink                       security/detect-object-injection
  6798:38  warning  Generic Object Injection Sink                       security/detect-object-injection
  6812:10  warning  Generic Object Injection Sink                       security/detect-object-injection
  6830:4   warning  Generic Object Injection Sink                       security/detect-object-injection
  6830:18  warning  Generic Object Injection Sink                       security/detect-object-injection
  6831:4   warning  Generic Object Injection Sink                       security/detect-object-injection
  6831:25  warning  Generic Object Injection Sink                       security/detect-object-injection
  6838:4   warning  Generic Object Injection Sink                       security/detect-object-injection
  6838:25  warning  Generic Object Injection Sink                       security/detect-object-injection
  6856:47  warning  Generic Object Injection Sink                       security/detect-object-injection
  6885:31  warning  Generic Object Injection Sink                       security/detect-object-injection
  6890:32  warning  Generic Object Injection Sink                       security/detect-object-injection
  6891:10  warning  Generic Object Injection Sink                       security/detect-object-injection
  6946:37  warning  Generic Object Injection Sink                       security/detect-object-injection
  6953:50  warning  Generic Object Injection Sink                       security/detect-object-injection
  6958:49  warning  Generic Object Injection Sink                       security/detect-object-injection
  6962:49  warning  Generic Object Injection Sink                       security/detect-object-injection
  6966:49  warning  Generic Object Injection Sink                       security/detect-object-injection
  6988:10  warning  Generic Object Injection Sink                       security/detect-object-injection
  6998:83  warning  Generic Object Injection Sink                       security/detect-object-injection
  7018:7   warning  Generic Object Injection Sink                       security/detect-object-injection
  7019:10  warning  Generic Object Injection Sink                       security/detect-object-injection
  7054:2   warning  Generic Object Injection Sink                       security/detect-object-injection
  7060:2   warning  Generic Object Injection Sink                       security/detect-object-injection
  7152:4   warning  Generic Object Injection Sink                       security/detect-object-injection
  7157:38  warning  Generic Object Injection Sink                       security/detect-object-injection
  7191:24  warning  Generic Object Injection Sink                       security/detect-object-injection
  7192:6   warning  Generic Object Injection Sink                       security/detect-object-injection
  7263:25  warning  Function Call Object Injection Sink                 security/detect-object-injection
  7296:44  warning  Function Call Object Injection Sink                 security/detect-object-injection
  7316:12  warning  Unsafe Regular Expression                           security/detect-unsafe-regex
  7352:2   warning  Assignment to href can be unsafe                    scanjs-rules/assign_to_href
  7378:16  warning  Generic Object Injection Sink                       security/detect-object-injection
  7385:12  warning  Generic Object Injection Sink                       security/detect-object-injection
  7385:36  warning  Generic Object Injection Sink                       security/detect-object-injection
  7400:2   warning  Generic Object Injection Sink                       security/detect-object-injection
  7403:10  warning  Variable Assigned to Object Injection Sink          security/detect-object-injection
  7409:15  warning  Function Call Object Injection Sink                 security/detect-object-injection
  7413:25  warning  Generic Object Injection Sink                       security/detect-object-injection
  7440:8   warning  Generic Object Injection Sink                       security/detect-object-injection
  7441:4   warning  Generic Object Injection Sink                       security/detect-object-injection
  7441:6   warning  Generic Object Injection Sink                       security/detect-object-injection
  7441:73  warning  Generic Object Injection Sink                       security/detect-object-injection
  7521:2   warning  Generic Object Injection Sink                       security/detect-object-injection
  7527:2   warning  Generic Object Injection Sink                       security/detect-object-injection
  7699:14  warning  Generic Object Injection Sink                       security/detect-object-injection
  7699:45  warning  Generic Object Injection Sink                       security/detect-object-injection
  7700:7   warning  Generic Object Injection Sink                       security/detect-object-injection
  7716:8   warning  Assignment in WhileStatement. Is this accidental?   scanjs-rules/accidental_assignment
  7787:7   warning  Generic Object Injection Sink                       security/detect-object-injection
  7791:7   warning  Generic Object Injection Sink                       security/detect-object-injection
  7866:7   warning  Generic Object Injection Sink                       security/detect-object-injection
  7866:29  warning  Generic Object Injection Sink                       security/detect-object-injection
  7866:46  warning  Generic Object Injection Sink                       security/detect-object-injection
  7954:9   warning  Generic Object Injection Sink                       security/detect-object-injection
  7955:50  warning  Function Call Object Injection Sink                 security/detect-object-injection
  7957:9   warning  Generic Object Injection Sink                       security/detect-object-injection
  7958:46  warning  Function Call Object Injection Sink                 security/detect-object-injection
  7972:31  warning  Function Call Object Injection Sink                 security/detect-object-injection
  7987:4   warning  Function Call Object Injection Sink                 security/detect-object-injection
  7987:16  warning  Function Call Object Injection Sink                 security/detect-object-injection
  8004:20  warning  The function setTimeout can be unsafe               scanjs-rules/call_setTimeout
  8050:11  warning  Generic Object Injection Sink                       security/detect-object-injection
  8050:36  warning  Generic Object Injection Sink                       security/detect-object-injection
  8065:9   warning  Generic Object Injection Sink                       security/detect-object-injection
  8065:29  warning  Generic Object Injection Sink                       security/detect-object-injection
  8097:10  warning  Generic Object Injection Sink                       security/detect-object-injection
  8119:39  warning  Generic Object Injection Sink                       security/detect-object-injection
  8149:17  warning  Generic Object Injection Sink                       security/detect-object-injection
  8152:21  warning  Generic Object Injection Sink                       security/detect-object-injection
  8196:3   warning  Generic Object Injection Sink                       security/detect-object-injection
  8220:17  warning  Generic Object Injection Sink                       security/detect-object-injection
  8243:3   warning  Generic Object Injection Sink                       security/detect-object-injection
  8250:4   warning  Generic Object Injection Sink                       security/detect-object-injection
  8253:9   warning  Generic Object Injection Sink                       security/detect-object-injection
